k,silhouette,davies_bouldin,calinski_harabasz
10,0.3044228255748749,1.7247222752759743,1127.353040430594
15,0.29972025752067566,1.5713022779062127,947.0822966196571
20,0.27986660599708557,1.5244938022313905,869.5347279780748
25,0.2921862006187439,1.447291887558945,777.828977963452
30,0.30862122774124146,1.42199680795132,760.1467452379012
35,0.32331547141075134,1.3581179030743598,732.9603971653235
